example_id                                                    | status  | run_time        |
./spec/routing/people_routing_spec.rb[1:1:1]                  | passed  | 0.00174 seconds |
./spec/routing/people_routing_spec.rb[1:1:2]                  | passed  | 0.00156 seconds |
./spec/routing/people_routing_spec.rb[1:1:3]                  | passed  | 0.00141 seconds |
./spec/routing/people_routing_spec.rb[1:1:4]                  | passed  | 0.00139 seconds |
./spec/routing/people_routing_spec.rb[1:1:5]                  | passed  | 0.00156 seconds |
./spec/routing/people_routing_spec.rb[1:1:6]                  | passed  | 0.00313 seconds |
./spec/routing/people_routing_spec.rb[1:1:7]                  | passed  | 0.00386 seconds |
./spec/routing/people_routing_spec.rb[1:1:8]                  | passed  | 0.00377 seconds |
./spec/routing/roles_routing_spec.rb[1:1:1]                   | passed  | 0.00118 seconds |
./spec/routing/roles_routing_spec.rb[1:1:2]                   | passed  | 0.00121 seconds |
./spec/routing/roles_routing_spec.rb[1:1:3]                   | passed  | 0.00109 seconds |
./spec/routing/roles_routing_spec.rb[1:1:4]                   | passed  | 0.00117 seconds |
./spec/routing/roles_routing_spec.rb[1:1:5]                   | passed  | 0.00109 seconds |
./spec/routing/roles_routing_spec.rb[1:1:6]                   | passed  | 0.00115 seconds |
./spec/routing/roles_routing_spec.rb[1:1:7]                   | passed  | 0.0013 seconds  |
./spec/routing/roles_routing_spec.rb[1:1:8]                   | passed  | 0.00154 seconds |
./spec/views/main/index.html.haml_spec.rb[1:1]                | pending | 0.00001 seconds |
./spec/views/people/edit.html.haml_spec.rb[1:1]               | passed  | 0.04041 seconds |
./spec/views/people/index.html.haml_spec.rb[1:1]              | passed  | 0.02544 seconds |
./spec/views/people/new.html.haml_spec.rb[1:1]                | passed  | 0.01042 seconds |
./spec/views/people/show.html.haml_spec.rb[1:1]               | passed  | 0.01213 seconds |
./spec/views/roles/edit.html.haml_spec.rb[1:1]                | passed  | 0.01866 seconds |
./spec/views/roles/index.html.haml_spec.rb[1:1]               | passed  | 0.01534 seconds |
./spec/views/roles/new.html.haml_spec.rb[1:1]                 | passed  | 0.00982 seconds |
./spec/views/roles/show.html.haml_spec.rb[1:1]                | passed  | 0.0112 seconds  |
